"","congressionaldistrict","fips","czone","d2_turnout_2002_2010","d2_shnr_2002_2004","d2_shnr_2002_2006","d2_shnr_2002_2008","d2_shnr_2002_2010","d2_shnr_2002_2012","d2_shnr_2002_2014","d2_shnr_2002_2016","d2_shnr_distr_2002_2010","d2_shnr_solidd_2002_2010","d2_shnr_solidr_2002_2010","d2_shnr_competitive_2002_2010","d2_rwin_2002_2004","d2_rwin_2002_2006","d2_rwin_2002_2008","d2_rwin_2002_2010","d2_rwin_2002_2012","d2_rwin_2002_2014","d2_rwin_2002_2016","d2_cfavg_demlib_2002_2004","d2_cfavg_demlib_2002_2006","d2_cfavg_demlib_2002_2008","d2_cfavg_demlib_2002_2010","d2_cfavg_demlib_2002_2012","d2_cfavg_demlib_2002_2014","d2_cfavg_demlib_2002_2016","d2_cfavg_demmod_2002_2004","d2_cfavg_demmod_2002_2006","d2_cfavg_demmod_2002_2008","d2_cfavg_demmod_2002_2010","d2_cfavg_demmod_2002_2012","d2_cfavg_demmod_2002_2014","d2_cfavg_demmod_2002_2016","d2_cfavg_repmod_2002_2004","d2_cfavg_repmod_2002_2006","d2_cfavg_repmod_2002_2008","d2_cfavg_repmod_2002_2010","d2_cfavg_repmod_2002_2012","d2_cfavg_repmod_2002_2014","d2_cfavg_repmod_2002_2016","d2_cfavg_repcon_2002_2004","d2_cfavg_repcon_2002_2006","d2_cfavg_repcon_2002_2008","d2_cfavg_repcon_2002_2010","d2_cfavg_repcon_2002_2012","d2_cfavg_repcon_2002_2014","d2_cfavg_repcon_2002_2016","d2_nominate_demlib_2002_2010","d2_nominate_demmod_2002_2010","d2_nominate_repmod_2002_2010","d2_nominate_repcon_2002_2010","d2_teaparty_2002_2010","d_party_2002_2004","d_party_2004_2006","d_party_2006_2008","d_party_2008_2010","d_party_2010_2012","d_party_2012_2014","d_party_2014_2016","d_imp_usch_pd","d_imp_otch_lag_pd","reg_midatl","reg_encen","reg_wncen","reg_satl","reg_escen","reg_wscen","reg_mount","reg_pacif","l_shind_manuf_cbp","l_sh_routine33","l_task_outsource","shnr_pres2000","shnr_pres1996","l_sh_pop_f","l_sh_pop_edu_c","l_sh_fborn","l_sh_pop_age_1019","l_sh_pop_age_2029","l_sh_pop_age_3039","l_sh_pop_age_4049","l_sh_pop_age_5059","l_sh_pop_age_6069","l_sh_pop_age_7079","l_sh_pop_age_8000","l_sh_pop_white","l_sh_pop_black","l_sh_pop_asian","l_sh_pop_hispanic","sh_district_2002","majority_white","redistrict_2004","redistrict_2006","redistrict_2012","redistrict_2016","house20_r","house16_r","d2_shnr_2016_20","d2_shnr_2002_2020","rep_control","_merge"
"1","AL 2",1001,11101,0.0825771689414978,1.76377296447754,-0.223571062088013,-18.134880065918,-12.5373182296753,-12.5373182296753,-9.22598266601562,-20.5844707489014,-18.8647632598877,0,0,-12.5373182296753,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,100,100,100,0,0,-100,-100,-100,-100,-100,0,0,0,0,0,0,0,1,1,0,0,0,0.440793055240205,1.0095273689148,0,0,0,0,1,0,0,0,0.140485316514969,33.071647644043,-0.173185616731644,0.708159744739532,0.654703736305237,0.514071106910706,0.448910802602768,0.0116553315892816,0.160289436578751,0.115774773061275,0.16088479757309,0.153396993875504,0.112156808376312,0.0787021145224571,0.0452016219496727,0.0215245820581913,0.806507766246796,0.171120420098305,0.00457969820126891,0.0139680793508887,0.0659276768565178,1,0,0,1,0,73.0829391479492,59.3564682006836,0.137264728546143,-6.85799980163574,1,"matched (3)"
"2","AL 1",1003,11001,-0.00555366277694702,0.1068115234375,4.14026355743408,25.3166847229004,25.3166847229004,25.3166847229004,9.45841026306152,25.3166847229004,38.441650390625,0,25.3166847229004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-100,0,0,0,0,0,0,0,0,0.465002791223728,1.14413003179307,0,0,0,0,1,0,0,0,0.15062840282917,28.3702278137207,-0.654407978057861,0.744930505752563,0.697736620903015,0.50968199968338,0.524153709411621,0.0210590045899153,0.13963608443737,0.10810811072588,0.140163093805313,0.152355521917343,0.125705942511559,0.0976747497916222,0.0723711848258972,0.035031870007515,0.871459603309631,0.102866500616074,0.0038243776652962,0.0175622254610062,0.227685838937759,1,0,0,1,0,77.4618530273438,97.4793014526367,-0.200174510478973,5.29923629760742,1,"matched (3)"
"3","AL 2",1005,10301,0.0833803415298462,5.90839385986328,0.916844606399536,-14.5915870666504,-13.1329956054688,-13.1329956054688,-11.7557945251465,-16.7719249725342,-18.8647632598877,0,0,-13.1329956054688,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,100,100,100,0,0,-100,-100,-100,-100,-100,0,0,0,0,0,0,0,1,1,0,0,0,1.17894595781622,2.74882214386171,0,0,0,0,1,0,0,0,0.401126265525818,26.8273143768311,-0.626306414604187,0.49550187587738,0.431049168109894,0.484468638896942,0.322449207305908,0.0149803701788187,0.148254007101059,0.137268409132957,0.150044769048691,0.142640680074692,0.11688132584095,0.0757972300052643,0.0614367388188839,0.0354018881917,0.512673020362854,0.463220596313477,0.00289276125840843,0.0164611879736185,0.0457922108471394,1,0,0,1,0,54.5533676147461,42.663745880127,0.118896186351776,-4.88230323791504,1,"matched (3)"
"4","AL 6",1007,10801,0.0310209691524506,0,0,0,0,0,6.8159875869751,7.21192359924316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,-100,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.744874706247084,1.30144472159903,0,0,0,0,1,0,0,0,0.235425710678101,29.567590713501,-0.56862884759903,0.611919045448303,0.522549867630005,0.484058380126953,0.27459380030632,0.00427350448444486,0.137376353144646,0.145395174622536,0.155622780323029,0.143618553876877,0.115480646491051,0.0769230797886848,0.0544991828501225,0.0280418712645769,0.766637861728668,0.222030147910118,0.000816287356428802,0.0100835496559739,0.0323882922530174,1,0,0,1,0,98.8133163452148,77.0563812255859,0.217569410800934,28.9688587188721,1,"matched (3)"
"5","AL 4",1009,10700,-0.0182663202285767,-16.4925346374512,-23.3885707855225,-17.7739200592041,0,0,7.86583995819092,9.47749614715576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,-100,-100,-100,-100,-100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0.25464718941597,0.675772320421867,0,0,0,0,1,0,0,0,0.132568463683128,32.2344017028809,-0.146032720804214,0.717938244342804,0.641515552997589,0.500705540180206,0.344371259212494,0.0309854187071323,0.138052687048912,0.127704605460167,0.149851053953171,0.144187048077583,0.122569769620895,0.0886445567011833,0.0575807467103004,0.0310638137161732,0.950768291950226,0.0118767637759447,0.00139150198083371,0.053269051015377,0.0791143551468849,1,0,0,1,0,98.6557922363281,90.1749725341797,0.0848082304000854,17.9583168029785,1,"matched (3)"
"6","AL 2",1011,9800,0.12556666135788,1.05375647544861,-3.077632188797,-15.1668815612793,-12.9502210617065,-12.9502210617065,-13.0599241256714,-17.3551044464111,-18.8647632598877,0,0,-12.9502210617065,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,100,100,100,0,0,-100,-100,-100,-100,-100,0,0,0,0,0,0,0,1,1,0,0,0,0.656769435095917,1.72345478191325,0,0,0,0,1,0,0,0,0.203169599175453,30.0645942687988,-0.51492303609848,0.296800404787064,0.272661358118057,0.475840866565704,0.252443850040436,0.0305617209523916,0.150759771466255,0.148710951209068,0.140174150466919,0.147857263684273,0.104746460914612,0.0705139115452766,0.0536110624670982,0.0458425804972649,0.252518355846405,0.731091022491455,0.00179272668901831,0.0274884756654501,0.0183041971176863,0,0,0,1,0,25.5442028045654,19.8172092437744,0.0572699308395386,-11.6281108856201,0,"matched (3)"
"7","AL 2",1013,11101,0.118791371583939,2.21586227416992,3.18228006362915,-19.7845344543457,-15.9123506546021,-15.9123506546021,-11.3791675567627,-20.4921550750732,-18.8647632598877,0,0,-15.9123506546021,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,100,100,100,0,0,-100,-100,-100,-100,-100,0,0,0,0,0,0,0,1,1,0,0,0,0.440793055240205,1.0095273689148,0,0,0,0,1,0,0,0,0.140485316514969,33.071647644043,-0.173185616731644,0.533703327178955,0.466832607984543,0.531800508499146,0.332606971263885,0.00364503008313477,0.163605779409409,0.109444364905357,0.124071218073368,0.145567551255226,0.113977290689945,0.0865928307175636,0.0706107765436172,0.0507500357925892,0.583765625953674,0.408056437969208,0.00163559045176953,0.00668255519121885,0.0330833159387112,1,0,0,1,0,58.2182235717773,47.0517616271973,0.111664623022079,-9.32569313049316,1,"matched (3)"
"8","AL 3",1015,9600,0.0759748816490173,11.7987337112427,10.435658454895,1.10592842102051,8.55513763427734,8.55513763427734,10.1300830841064,11.5535020828247,8.41130065917969,0,0,8.55513763427734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56412363226122,2.71708960141436,0,0,0,0,1,0,0,0,0.328834116458893,31.0274696350098,-0.541001081466675,0.585657358169556,0.534934520721436,0.521581470966339,0.416685819625854,0.0169890150427818,0.139413267374039,0.13566267490387,0.137898772954941,0.151475742459297,0.120856307446957,0.0880364179611206,0.0659159570932388,0.0330247916281223,0.788755357265472,0.185391411185265,0.00563924852758646,0.0156170660629869,0.17920695245266,1,0,0,1,0,71.45654296875,70.2116394042969,0.0124489665031433,12.7984056472778,1,"matched (3)"
"9","AL 3",1017,9600,0.1141617000103,3.48335218429565,11.5688591003418,2.81335401535034,7.5730414390564,7.5730414390564,10.4336290359497,11.9358568191528,8.41130065917969,0,0,7.5730414390564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56412363226122,2.71708960141436,0,0,0,0,1,0,0,0,0.328834116458893,31.0274696350098,-0.541001081466675,0.518025815486908,0.460486322641373,0.527512788772583,0.320692330598831,0.00803651940077543,0.135445430874825,0.125030755996704,0.133149281144142,0.140611752867699,0.12084848433733,0.0888664126396179,0.0712626054883003,0.0471803843975067,0.608780026435852,0.381133317947388,0.00185878691263497,0.00765382824465632,0.0575806759297848,1,0,0,1,0,59.5692520141602,57.6353950500488,0.0193385481834412,13.8697137832642,1,"matched (3)"
"10","AL 3",1019,6600,0.121498793363571,19.3172035217285,13.5232982635498,14.9071455001831,20.6207218170166,20.6207218170166,22.5866317749023,26.9929294586182,8.41130065917969,0,0,20.6207218170166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.905913206751222,2.11878921806576,0,0,0,0,1,0,0,0,0.400030463933945,31.9204597473145,-0.236314654350281,0.5429447889328,0.409317046403885,0.508337497711182,0.286597311496735,0.0107970647513866,0.121644154191017,0.118142403662205,0.136943474411964,0.144113719463348,0.138360843062401,0.111597463488579,0.0700767040252686,0.0361847579479218,0.928297460079193,0.0554443895816803,0.00141737540252507,0.00850425194948912,0.0389942713081837,1,0,0,1,0,87.6880111694336,83.5524444580078,0.0413556694984436,31.1284961700439,1,"matched (3)"
