fips_txt,Stabr,area_name,Civilian_labor_force_2011,Employed_2011,Unemployed_2011,Unemployment_rate_2011,Civilian_labor_force_2012,Employed_2012,Unemployed_2012,Unemployment_rate_2012,Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Civilian_labor_force_2014,Employed_2014,Unemployed_2014,Unemployment_rate_2014,Civilian_labor_force_2015,Employed_2015,Unemployed_2015,Unemployment_rate_2015,Civilian_labor_force_2016,Employed_2016,Unemployed_2016,Unemployment_rate_2016,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019
00000,US,United States,"154,606,324","140,765,822","13,840,502",9.0,"155,119,209","142,600,412","12,518,797",8.1,"155,485,689","144,018,150","11,467,539",7.4,"155,957,310","146,338,323","9,618,987",6.2,"156,798,981","148,515,185","8,283,796",5.3,"158,626,135","150,902,618","7,723,517",4.9,"160,158,564","153,183,461","6,975,103",4.4,"161,389,026","155,102,319","6,286,707",3.9,"163,100,055","157,115,247","5,984,808",3.7,"65,712",
01000,AL,Alabama,"2,202,670","1,990,413","212,257",9.6,"2,176,337","2,003,290","173,047",8.0,"2,174,000","2,017,043","156,957",7.2,"2,160,842","2,014,290","146,552",6.8,"2,161,481","2,030,005","131,476",6.1,"2,182,558","2,055,251","127,307",5.8,"2,186,869","2,090,373","96,496",4.4,"2,216,627","2,130,845","85,782",3.9,"2,241,747","2,174,483","67,264",3.0,"51,771",100.0
01001,AL,"Autauga County, AL","25,836","23,677","2,159",8.4,"25,740","23,961","1,779",6.9,"25,810","24,205","1,605",6.2,"25,592","24,097","1,495",5.8,"25,652","24,321","1,331",5.2,"26,031","24,709","1,322",5.1,"26,075","25,062","1,013",3.9,"26,196","25,261",935,3.6,"26,172","25,458",714,2.7,"58,233",112.5
01003,AL,"Baldwin County, AL","85,045","77,418","7,627",9.0,"84,414","78,065","6,349",7.5,"85,280","79,626","5,654",6.6,"86,384","81,083","5,301",6.1,"87,872","83,010","4,862",5.5,"90,895","86,060","4,835",5.3,"92,456","88,711","3,745",4.1,"95,233","91,809","3,424",3.6,"97,328","94,675","2,653",2.7,"59,871",115.6
01005,AL,"Barbour County, AL","9,849","8,712","1,137",11.5,"9,362","8,283","1,079",11.5,"9,099","8,168",931,10.2,"8,845","7,913",932,10.5,"8,625","7,860",765,8.9,"8,436","7,736",700,8.3,"8,349","7,863",486,5.8,"8,414","7,987",427,5.1,"8,537","8,213",324,3.8,"35,972",69.5
01007,AL,"Bibb County, AL","8,933","7,996",937,10.5,"8,798","8,047",751,8.5,"8,705","8,016",689,7.9,"8,559","7,942",617,7.2,"8,589","8,021",568,6.6,"8,644","8,088",556,6.4,"8,583","8,208",375,4.4,"8,605","8,268",337,3.9,"8,685","8,419",266,3.1,"47,918",92.6
01009,AL,"Blount County, AL","25,123","22,939","2,184",8.7,"24,960","23,244","1,716",6.9,"24,887","23,325","1,562",6.3,"24,527","23,023","1,504",6.1,"24,521","23,198","1,323",5.4,"24,684","23,358","1,326",5.4,"24,822","23,824",998,4.0,"25,069","24,201",868,3.5,"25,331","24,655",676,2.7,"52,902",102.2
01011,AL,"Bullock County, AL","4,833","4,272",561,11.6,"4,736","4,245",491,10.4,"4,778","4,331",447,9.4,"4,732","4,314",418,8.8,"4,785","4,406",379,7.9,"4,844","4,514",330,6.8,"4,852","4,614",238,4.9,"4,791","4,571",220,4.6,"4,818","4,643",175,3.6,"31,906",61.6
01013,AL,"Butler County, AL","9,188","8,042","1,146",12.5,"9,088","8,039","1,049",11.5,"9,147","8,206",941,10.3,"9,270","8,477",793,8.6,"9,151","8,457",694,7.6,"9,229","8,593",636,6.9,"8,975","8,481",494,5.5,"8,973","8,553",420,4.7,"9,263","8,925",338,3.6,"39,944",77.2
01015,AL,"Calhoun County, AL","51,268","45,963","5,305",10.3,"49,649","45,252","4,397",8.9,"48,405","44,163","4,242",8.8,"47,237","43,467","3,770",8.0,"45,995","42,764","3,231",7.0,"46,013","43,016","2,997",6.5,"45,950","43,679","2,271",4.9,"46,307","44,191","2,116",4.6,"46,209","44,574","1,635",3.5,"47,747",92.2
01017,AL,"Chambers County, AL","15,200","13,380","1,820",12.0,"15,140","13,646","1,494",9.9,"15,275","14,058","1,217",8.0,"15,302","14,276","1,026",6.7,"15,002","14,097",905,6.0,"15,043","14,225",818,5.4,"15,260","14,639",621,4.1,"15,366","14,775",591,3.8,"15,748","15,286",462,2.9,"42,015",81.2
01019,AL,"Cherokee County, AL","11,476","10,364","1,112",9.7,"11,268","10,363",905,8.0,"11,403","10,649",754,6.6,"11,386","10,725",661,5.8,"11,179","10,570",609,5.4,"11,382","10,808",574,5.0,"11,385","10,922",463,4.1,"11,688","11,276",412,3.5,"11,604","11,266",338,2.9,"45,982",88.8
01021,AL,"Chilton County, AL","19,539","17,753","1,786",9.1,"19,383","17,982","1,401",7.2,"19,359","18,090","1,269",6.6,"19,096","17,899","1,197",6.3,"19,171","18,090","1,081",5.6,"19,266","18,213","1,053",5.5,"19,333","18,547",786,4.1,"19,624","18,924",700,3.6,"19,818","19,280",538,2.7,"49,692",96.0
01023,AL,"Choctaw County, AL","4,764","4,138",626,13.1,"4,791","4,297",494,10.3,"4,703","4,270",433,9.2,"4,494","4,089",405,9.0,"4,386","3,988",398,9.1,"4,344","3,976",368,8.5,"4,424","4,145",279,6.3,"4,749","4,493",256,5.4,"4,670","4,452",218,4.7,"39,808",76.9
01025,AL,"Clarke County, AL","8,843","7,181","1,662",18.8,"8,374","7,116","1,258",15.0,"8,285","7,145","1,140",13.8,"8,155","7,162",993,12.2,"8,006","7,068",938,11.7,"7,985","7,121",864,10.8,"7,765","7,107",658,8.5,"7,659","7,096",563,7.4,"7,557","7,121",436,5.8,"43,822",84.6
01027,AL,"Clay County, AL","5,598","4,935",663,11.8,"5,413","4,905",508,9.4,"5,393","4,943",450,8.3,"5,511","5,117",394,7.1,"5,559","5,219",340,6.1,"5,648","5,314",334,5.9,"5,819","5,567",252,4.3,"6,010","5,784",226,3.8,"6,101","5,918",183,3.0,"40,562",78.3
01029,AL,"Cleburne County, AL","5,939","5,365",574,9.7,"5,838","5,358",480,8.2,"5,830","5,383",447,7.7,"5,853","5,467",386,6.6,"5,688","5,346",342,6.0,"5,810","5,464",346,6.0,"5,747","5,489",258,4.5,"5,795","5,552",243,4.2,"5,806","5,623",183,3.2,"51,276",99.0
01031,AL,"Coffee County, AL","20,749","19,059","1,690",8.1,"20,612","19,159","1,453",7.0,"20,516","19,105","1,411",6.9,"20,228","18,884","1,344",6.6,"20,309","19,100","1,209",6.0,"20,684","19,474","1,210",5.8,"20,969","20,049",920,4.4,"21,007","20,193",814,3.9,"21,402","20,779",623,2.9,"57,299",110.7
01033,AL,"Colbert County, AL","24,386","21,905","2,481",10.2,"24,026","21,922","2,104",8.8,"23,896","21,937","1,959",8.2,"24,027","22,034","1,993",8.3,"23,647","21,776","1,871",7.9,"23,548","21,918","1,630",6.9,"23,343","22,130","1,213",5.2,"23,541","22,478","1,063",4.5,"23,646","22,761",885,3.7,"46,683",90.2
01035,AL,"Conecuh County, AL","4,785","4,057",728,15.2,"4,635","4,082",553,11.9,"4,695","4,191",504,10.7,"4,716","4,229",487,10.3,"4,690","4,258",432,9.2,"4,567","4,184",383,8.4,"4,505","4,230",275,6.1,"4,512","4,281",231,5.1,"4,533","4,353",180,4.0,"41,539",80.2
01037,AL,"Coosa County, AL","4,477","3,918",559,12.5,"4,445","4,029",416,9.4,"4,452","4,044",408,9.2,"4,467","4,074",393,8.8,"4,434","4,138",296,6.7,"4,399","4,137",262,6.0,"4,396","4,191",205,4.7,"4,426","4,246",180,4.1,"4,549","4,414",135,3.0,"42,024",81.2
01039,AL,"Covington County, AL","16,367","14,764","1,603",9.8,"16,345","14,978","1,367",8.4,"16,066","14,768","1,298",8.1,"15,911","14,674","1,237",7.8,"15,487","14,382","1,105",7.1,"15,556","14,509","1,047",6.7,"15,779","14,958",821,5.2,"15,652","14,945",707,4.5,"15,653","15,119",534,3.4,"44,836",86.6
01041,AL,"Crenshaw County, AL","6,432","5,798",634,9.9,"6,251","5,732",519,8.3,"6,311","5,828",483,7.7,"6,298","5,862",436,6.9,"6,367","5,986",381,6.0,"6,480","6,101",379,5.8,"6,429","6,138",291,4.5,"6,369","6,114",255,4.0,"6,476","6,293",183,2.8,"43,309",83.7
01043,AL,"Cullman County, AL","35,669","32,279","3,390",9.5,"35,568","32,835","2,733",7.7,"35,783","33,402","2,381",6.7,"35,919","33,738","2,181",6.1,"36,456","34,541","1,915",5.3,"38,064","36,179","1,885",5.0,"37,976","36,556","1,420",3.7,"38,113","36,879","1,234",3.2,"38,646","37,648",998,2.6,"50,897",98.3
01045,AL,"Dale County, AL","22,017","20,188","1,829",8.3,"21,370","19,781","1,589",7.4,"20,750","19,220","1,530",7.4,"20,316","18,878","1,438",7.1,"19,875","18,612","1,263",6.4,"20,043","18,888","1,155",5.8,"20,014","19,120",894,4.5,"20,257","19,424",833,4.1,"20,724","20,082",642,3.1,"45,120",87.2
01047,AL,"Dallas County, AL","17,514","14,866","2,648",15.1,"16,746","14,583","2,163",12.9,"16,293","14,301","1,992",12.2,"16,003","14,204","1,799",11.2,"15,617","14,122","1,495",9.6,"15,480","14,059","1,421",9.2,"15,084","13,956","1,128",7.5,"14,880","13,927",953,6.4,"14,711","13,904",807,5.5,"34,034",65.7
01049,AL,"DeKalb County, AL","29,809","26,279","3,530",11.8,"28,833","26,224","2,609",9.0,"29,033","26,823","2,210",7.6,"28,943","26,954","1,989",6.9,"28,822","27,076","1,746",6.1,"29,355","27,582","1,773",6.0,"29,688","28,357","1,331",4.5,"30,289","29,153","1,136",3.8,"31,052","30,182",870,2.8,"44,277",85.5
01051,AL,"Elmore County, AL","36,597","33,521","3,076",8.4,"36,629","34,087","2,542",6.9,"36,930","34,658","2,272",6.2,"36,543","34,455","2,088",5.7,"36,814","34,967","1,847",5.0,"37,384","35,613","1,771",4.7,"37,366","35,990","1,376",3.7,"37,590","36,313","1,277",3.4,"37,565","36,586",979,2.6,"62,310",120.4
01053,AL,"Escambia County, AL","14,978","13,355","1,623",10.8,"14,732","13,374","1,358",9.2,"14,292","13,065","1,227",8.6,"14,365","13,215","1,150",8.0,"14,624","13,598","1,026",7.0,"14,613","13,646",967,6.6,"14,501","13,779",722,5.0,"14,423","13,780",643,4.5,"14,762","14,248",514,3.5,"42,712",82.5
01055,AL,"Etowah County, AL","44,722","40,238","4,484",10.0,"44,232","40,589","3,643",8.2,"43,862","40,538","3,324",7.6,"43,719","40,639","3,080",7.0,"42,767","40,126","2,641",6.2,"43,451","40,892","2,559",5.9,"43,233","41,251","1,982",4.6,"43,252","41,502","1,750",4.0,"42,723","41,295","1,428",3.3,"43,047",83.1
01057,AL,"Fayette County, AL","6,632","5,896",736,11.1,"6,503","5,943",560,8.6,"6,406","5,875",531,8.3,"6,349","5,851",498,7.8,"6,434","5,983",451,7.0,"6,623","6,178",445,6.7,"6,579","6,269",310,4.7,"6,529","6,267",262,4.0,"6,579","6,372",207,3.1,"44,212",85.4
01059,AL,"Franklin County, AL","14,362","12,986","1,376",9.6,"13,976","12,806","1,170",8.4,"13,678","12,578","1,100",8.0,"13,714","12,653","1,061",7.7,"13,687","12,807",880,6.4,"13,924","13,108",816,5.9,"14,029","13,430",599,4.3,"14,291","13,768",523,3.7,"14,696","14,291",405,2.8,"44,874",86.7
01061,AL,"Geneva County, AL","11,486","10,429","1,057",9.2,"11,274","10,421",853,7.6,"11,044","10,276",768,7.0,"10,793","10,071",722,6.7,"10,807","10,168",639,5.9,"10,853","10,226",627,5.8,"10,826","10,356",470,4.3,"10,872","10,450",422,3.9,"11,045","10,725",320,2.9,"43,089",83.2
01063,AL,"Greene County, AL","3,226","2,668",558,17.3,"3,125","2,701",424,13.6,"2,997","2,614",383,12.8,"2,985","2,613",372,12.5,"2,883","2,564",319,11.1,"2,884","2,598",286,9.9,"2,861","2,645",216,7.5,"2,860","2,672",188,6.6,"2,883","2,722",161,5.6,"28,699",55.4
01065,AL,"Hale County, AL","6,296","5,426",870,13.8,"6,212","5,499",713,11.5,"6,208","5,486",722,11.6,"6,032","5,436",596,9.9,"6,058","5,588",470,7.8,"6,006","5,548",458,7.6,"5,968","5,614",354,5.9,"5,979","5,680",299,5.0,"6,119","5,878",241,3.9,"40,745",78.7
01067,AL,"Henry County, AL","7,270","6,563",707,9.7,"7,030","6,447",583,8.3,"6,954","6,421",533,7.7,"6,775","6,267",508,7.5,"6,729","6,272",457,6.8,"6,749","6,311",438,6.5,"6,739","6,411",328,4.9,"6,830","6,531",299,4.4,"6,944","6,697",247,3.6,"48,597",93.9
01069,AL,"Houston County, AL","46,778","42,747","4,031",8.6,"46,054","42,578","3,476",7.5,"45,711","42,553","3,158",6.9,"45,142","42,080","3,062",6.8,"44,627","41,850","2,777",6.2,"44,735","42,156","2,579",5.8,"44,882","42,923","1,959",4.4,"45,580","43,764","1,816",4.0,"46,234","44,844","1,390",3.0,"50,138",96.8
01071,AL,"Jackson County, AL","24,163","21,682","2,481",10.3,"23,731","21,695","2,036",8.6,"23,687","21,822","1,865",7.9,"23,446","21,743","1,703",7.3,"23,506","21,944","1,562",6.6,"23,681","22,193","1,488",6.3,"23,198","22,088","1,110",4.8,"23,412","22,468",944,4.0,"23,484","22,712",772,3.3,"44,322",85.6
01073,AL,"Jefferson County, AL","319,652","289,916","29,736",9.3,"316,511","293,020","23,491",7.4,"315,405","294,426","20,979",6.7,"312,131","292,505","19,626",6.3,"311,481","293,544","17,937",5.8,"312,478","294,630","17,848",5.7,"311,481","298,227","13,254",4.3,"315,793","304,248","11,545",3.7,"318,755","309,664","9,091",2.9,"54,127",104.6
01075,AL,"Lamar County, AL","5,826","5,260",566,9.7,"5,806","5,369",437,7.5,"5,802","5,394",408,7.0,"5,625","5,232",393,7.0,"5,626","5,271",355,6.3,"5,713","5,392",321,5.6,"5,764","5,523",241,4.2,"5,743","5,528",215,3.7,"5,849","5,670",179,3.1,"42,686",82.5
01077,AL,"Lauderdale County, AL","44,048","40,026","4,022",9.1,"43,409","40,084","3,325",7.7,"43,150","40,083","3,067",7.1,"43,474","40,346","3,128",7.2,"42,725","39,766","2,959",6.9,"42,703","39,998","2,705",6.3,"42,218","40,261","1,957",4.6,"42,390","40,644","1,746",4.1,"42,548","41,160","1,388",3.3,"48,188",93.1
01079,AL,"Lawrence County, AL","14,788","13,177","1,611",10.9,"14,391","13,094","1,297",9.0,"14,282","13,093","1,189",8.3,"14,021","12,868","1,153",8.2,"13,698","12,641","1,057",7.7,"13,775","12,828",947,6.9,"13,690","13,015",675,4.9,"14,044","13,469",575,4.1,"14,306","13,859",447,3.1,"47,797",92.3
01081,AL,"Lee County, AL","68,316","62,812","5,504",8.1,"68,918","64,247","4,671",6.8,"70,523","66,379","4,144",5.9,"71,346","67,358","3,988",5.6,"70,996","67,274","3,722",5.2,"72,653","68,867","3,786",5.2,"73,762","70,836","2,926",4.0,"75,243","72,541","2,702",3.6,"76,580","74,500","2,080",2.7,"54,160",104.6
01083,AL,"Limestone County, AL","38,990","35,631","3,359",8.6,"38,990","36,311","2,679",6.9,"39,435","36,969","2,466",6.3,"39,576","37,162","2,414",6.1,"40,022","37,833","2,189",5.5,"40,853","38,720","2,133",5.2,"41,691","40,016","1,675",4.0,"42,979","41,472","1,507",3.5,"43,854","42,700","1,154",2.6,"64,729",125.0
01085,AL,"Lowndes County, AL","4,239","3,489",750,17.7,"4,081","3,452",629,15.4,"4,009","3,443",566,14.1,"3,872","3,376",496,12.8,"3,834","3,392",442,11.5,"3,815","3,414",401,10.5,"3,672","3,371",301,8.2,"3,614","3,354",260,7.2,"3,587","3,383",204,5.7,"33,930",65.5
01087,AL,"Macon County, AL","8,512","7,317","1,195",14.0,"8,286","7,397",889,10.7,"8,414","7,603",811,9.6,"8,237","7,486",751,9.1,"7,983","7,341",642,8.0,"7,900","7,301",599,7.6,"7,916","7,460",456,5.8,"7,862","7,442",420,5.3,"7,850","7,513",337,4.3,"34,281",66.2
01089,AL,"Madison County, AL","171,726","157,512","14,214",8.3,"170,209","158,399","11,810",6.9,"171,363","160,551","10,812",6.3,"170,070","159,573","10,497",6.2,"171,217","161,839","9,378",5.5,"174,275","165,388","8,887",5.1,"176,562","169,711","6,851",3.9,"181,565","175,352","6,213",3.4,"185,219","180,505","4,714",2.5,"68,609",132.5
01091,AL,"Marengo County, AL","7,875","6,884",991,12.6,"7,650","6,873",777,10.2,"7,634","6,955",679,8.9,"7,623","7,015",608,8.0,"7,419","6,853",566,7.6,"7,703","7,155",548,7.1,"7,724","7,291",433,5.6,"7,608","7,237",371,4.9,"7,694","7,423",271,3.5,"38,838",75.0
01093,AL,"Marion County, AL","12,556","11,149","1,407",11.2,"12,451","11,340","1,111",8.9,"12,487","11,499",988,7.9,"12,288","11,317",971,7.9,"12,506","11,638",868,6.9,"12,547","11,720",827,6.6,"12,567","11,964",603,4.8,"12,621","12,114",507,4.0,"12,932","12,486",446,3.4,"44,675",86.3
01095,AL,"Marshall County, AL","41,085","37,216","3,869",9.4,"40,686","37,523","3,163",7.8,"40,614","37,841","2,773",6.8,"39,903","37,239","2,664",6.7,"40,466","38,126","2,340",5.8,"41,754","39,535","2,219",5.3,"42,240","40,616","1,624",3.8,"42,925","41,496","1,429",3.3,"44,085","42,999","1,086",2.5,"48,913",94.5
01097,AL,"Mobile County, AL","193,851","172,971","20,880",10.8,"188,626","171,312","17,314",9.2,"187,046","171,088","15,958",8.5,"185,318","170,959","14,359",7.7,"187,264","174,405","12,859",6.9,"188,542","176,094","12,448",6.6,"187,560","177,819","9,741",5.2,"189,004","180,293","8,711",4.6,"189,107","182,083","7,024",3.7,"49,492",95.6
01099,AL,"Monroe County, AL","8,325","7,017","1,308",15.7,"7,971","6,971","1,000",12.5,"7,766","6,843",923,11.9,"7,615","6,773",842,11.1,"7,353","6,614",739,10.1,"7,344","6,681",663,9.0,"7,243","6,756",487,6.7,"7,187","6,753",434,6.0,"7,329","6,973",356,4.9,"40,005",77.3
01101,AL,"Montgomery County, AL","109,092","98,491","10,601",9.7,"107,320","98,666","8,654",8.1,"106,360","98,613","7,747",7.3,"105,004","97,799","7,205",6.9,"105,246","98,841","6,405",6.1,"106,190","100,202","5,988",5.6,"106,155","101,555","4,600",4.3,"105,953","101,782","4,171",3.9,"105,777","102,517","3,260",3.1,"52,711",101.8
