fips,state,state_code
1001,AL,1
1003,AL,1
1005,AL,1
1007,AL,1
1009,AL,1
1011,AL,1
1013,AL,1
1015,AL,1
1017,AL,1
1019,AL,1
1021,AL,1
1023,AL,1
1025,AL,1
1027,AL,1
1029,AL,1
1031,AL,1
1033,AL,1
1035,AL,1
1037,AL,1
1039,AL,1
1041,AL,1
1043,AL,1
1045,AL,1
1047,AL,1
1049,AL,1
1051,AL,1
1053,AL,1
1055,AL,1
1057,AL,1
1059,AL,1
1061,AL,1
1063,AL,1
1065,AL,1
1067,AL,1
1069,AL,1
1071,AL,1
1073,AL,1
1075,AL,1
1077,AL,1
1079,AL,1
1081,AL,1
1083,AL,1
1085,AL,1
1087,AL,1
1089,AL,1
1091,AL,1
1093,AL,1
1095,AL,1
1097,AL,1
1099,AL,1
1101,AL,1
1103,AL,1
1105,AL,1
1107,AL,1
1109,AL,1
1111,AL,1
1113,AL,1
1115,AL,1
1117,AL,1
1119,AL,1
1121,AL,1
1123,AL,1
1125,AL,1
1127,AL,1
1129,AL,1
1131,AL,1
1133,AL,1
2013,AK,2
2016,AK,2
2020,AK,2
2050,AK,2
2060,AK,2
2068,AK,2
2070,AK,2
2090,AK,2
2100,AK,2
2105,AK,2
2110,AK,2
2122,AK,2
2130,AK,2
2150,AK,2
2158,AK,2
2164,AK,2
2170,AK,2
2180,AK,2
2185,AK,2
2188,AK,2
2195,AK,2
2198,AK,2
2220,AK,2
2230,AK,2
2240,AK,2
2261,AK,2
2270,AK,2
2275,AK,2
2282,AK,2
2290,AK,2
4001,AZ,4
4003,AZ,4
4005,AZ,4
4007,AZ,4
4009,AZ,4
4011,AZ,4
4012,AZ,4
4013,AZ,4
4015,AZ,4
4017,AZ,4
4019,AZ,4
4021,AZ,4
4023,AZ,4
4025,AZ,4
4027,AZ,4
5001,AR,5
5003,AR,5
5005,AR,5
5007,AR,5
5009,AR,5
5011,AR,5
5013,AR,5
5015,AR,5
5017,AR,5
5019,AR,5
5021,AR,5
5023,AR,5
5025,AR,5
5027,AR,5
5029,AR,5
5031,AR,5
5033,AR,5
5035,AR,5
5037,AR,5
5039,AR,5
5041,AR,5
5043,AR,5
5045,AR,5
5047,AR,5
5049,AR,5
5051,AR,5
5053,AR,5
5055,AR,5
5057,AR,5
5059,AR,5
5061,AR,5
5063,AR,5
5065,AR,5
5067,AR,5
5069,AR,5
5071,AR,5
5073,AR,5
5075,AR,5
5077,AR,5
5079,AR,5
5081,AR,5
5083,AR,5
5085,AR,5
5087,AR,5
5089,AR,5
5091,AR,5
5093,AR,5
5095,AR,5
5097,AR,5
5099,AR,5
5101,AR,5
5103,AR,5
5105,AR,5
5107,AR,5
5109,AR,5
5111,AR,5
5113,AR,5
5115,AR,5
5117,AR,5
5119,AR,5
5121,AR,5
5123,AR,5
5125,AR,5
5127,AR,5
5129,AR,5
5131,AR,5
5133,AR,5
5135,AR,5
5137,AR,5
5139,AR,5
5141,AR,5
5143,AR,5
5145,AR,5
5147,AR,5
5149,AR,5
6001,CA,6
6003,CA,6
6005,CA,6
6007,CA,6
6009,CA,6
6011,CA,6
6013,CA,6
6015,CA,6
6017,CA,6
6019,CA,6
6021,CA,6
6023,CA,6
6025,CA,6
6027,CA,6
6029,CA,6
6031,CA,6
6033,CA,6
6035,CA,6
6037,CA,6
6039,CA,6
6041,CA,6
6043,CA,6
6045,CA,6
6047,CA,6
6049,CA,6
6051,CA,6
6053,CA,6
6055,CA,6
6057,CA,6
6059,CA,6
6061,CA,6
6063,CA,6
6065,CA,6
6067,CA,6
6069,CA,6
6071,CA,6
6073,CA,6
6075,CA,6
6077,CA,6
6079,CA,6
6081,CA,6
6083,CA,6
6085,CA,6
6087,CA,6
6089,CA,6
6091,CA,6
6093,CA,6
6095,CA,6
6097,CA,6
6099,CA,6
6101,CA,6
6103,CA,6
6105,CA,6
6107,CA,6
6109,CA,6
6111,CA,6
6113,CA,6
6115,CA,6
8001,CO,8
8003,CO,8
8005,CO,8
8007,CO,8
8009,CO,8
8011,CO,8
8013,CO,8
8014,CO,8
8015,CO,8
8017,CO,8
8019,CO,8
8021,CO,8
8023,CO,8
8025,CO,8
8027,CO,8
8029,CO,8
8031,CO,8
8033,CO,8
8035,CO,8
8037,CO,8
8039,CO,8
8041,CO,8
8043,CO,8
8045,CO,8
8047,CO,8
8049,CO,8
8051,CO,8
8053,CO,8
8055,CO,8
8057,CO,8
8059,CO,8
8061,CO,8
8063,CO,8
8065,CO,8
8067,CO,8
8069,CO,8
8071,CO,8
8073,CO,8
8075,CO,8
8077,CO,8
8079,CO,8
8081,CO,8
8083,CO,8
8085,CO,8
8087,CO,8
8089,CO,8
8091,CO,8
8093,CO,8
8095,CO,8
8097,CO,8
8099,CO,8
8101,CO,8
8103,CO,8
8105,CO,8
8107,CO,8
8109,CO,8
8111,CO,8
8113,CO,8
8115,CO,8
8117,CO,8
8119,CO,8
8121,CO,8
8123,CO,8
8125,CO,8
9001,CT,9
9003,CT,9
9005,CT,9
9007,CT,9
9009,CT,9
9011,CT,9
9013,CT,9
9015,CT,9
10001,DE,10
10003,DE,10
10005,DE,10
11001,DC,11
12001,FL,12
12003,FL,12
12005,FL,12
12007,FL,12
12009,FL,12
12011,FL,12
12013,FL,12
12015,FL,12
12017,FL,12
12019,FL,12
12021,FL,12
12023,FL,12
12027,FL,12
12029,FL,12
12031,FL,12
12033,FL,12
12035,FL,12
12037,FL,12
12039,FL,12
12041,FL,12
12043,FL,12
12045,FL,12
12047,FL,12
12049,FL,12
12051,FL,12
12053,FL,12
12055,FL,12
12057,FL,12
12059,FL,12
12061,FL,12
12063,FL,12
12065,FL,12
12067,FL,12
12069,FL,12
12071,FL,12
12073,FL,12
12075,FL,12
12077,FL,12
12079,FL,12
12081,FL,12
12083,FL,12
12085,FL,12
12086,FL,12
12087,FL,12
12089,FL,12
12091,FL,12
12093,FL,12
12095,FL,12
12097,FL,12
12099,FL,12
12101,FL,12
12103,FL,12
12105,FL,12
12107,FL,12
12109,FL,12
12111,FL,12
12113,FL,12
12115,FL,12
12117,FL,12
12119,FL,12
12121,FL,12
12123,FL,12
12125,FL,12
12127,FL,12
12129,FL,12
12131,FL,12
12133,FL,12
13001,GA,13
13003,GA,13
13005,GA,13
13007,GA,13
13009,GA,13
13011,GA,13
13013,GA,13
13015,GA,13
13017,GA,13
13019,GA,13
13021,GA,13
13023,GA,13
13025,GA,13
13027,GA,13
13029,GA,13
13031,GA,13
13033,GA,13
13035,GA,13
13037,GA,13
13039,GA,13
13043,GA,13
13045,GA,13
13047,GA,13
13049,GA,13
13051,GA,13
13053,GA,13
13055,GA,13
13057,GA,13
13059,GA,13
13061,GA,13
13063,GA,13
13065,GA,13
13067,GA,13
13069,GA,13
13071,GA,13
13073,GA,13
13075,GA,13
13077,GA,13
13079,GA,13
13081,GA,13
13083,GA,13
13085,GA,13
13087,GA,13
13089,GA,13
13091,GA,13
13093,GA,13
13095,GA,13
13097,GA,13
13099,GA,13
13101,GA,13
13103,GA,13
13105,GA,13
13107,GA,13
13109,GA,13
13111,GA,13
13113,GA,13
13115,GA,13
13117,GA,13
13119,GA,13
13121,GA,13
13123,GA,13
13125,GA,13
13127,GA,13
13129,GA,13
13131,GA,13
13133,GA,13
13135,GA,13
13137,GA,13
13139,GA,13
13141,GA,13
13143,GA,13
13145,GA,13
13147,GA,13
13149,GA,13
13151,GA,13
13153,GA,13
13155,GA,13
13157,GA,13
13159,GA,13
13161,GA,13
13163,GA,13
13165,GA,13
13167,GA,13
13169,GA,13
13171,GA,13
13173,GA,13
13175,GA,13
13177,GA,13
13179,GA,13
13181,GA,13
13183,GA,13
13185,GA,13
13187,GA,13
13189,GA,13
13191,GA,13
13193,GA,13
13195,GA,13
13197,GA,13
13199,GA,13
13201,GA,13
13205,GA,13
13207,GA,13
13209,GA,13
13211,GA,13
13213,GA,13
13215,GA,13
13217,GA,13
13219,GA,13
13221,GA,13
13223,GA,13
13225,GA,13
13227,GA,13
13229,GA,13
13231,GA,13
13233,GA,13
13235,GA,13
13237,GA,13
13239,GA,13
13241,GA,13
13243,GA,13
13245,GA,13
13247,GA,13
13249,GA,13
13251,GA,13
13253,GA,13
13255,GA,13
13257,GA,13
13259,GA,13
13261,GA,13
13263,GA,13
13265,GA,13
13267,GA,13
13269,GA,13
13271,GA,13
13273,GA,13
13275,GA,13
13277,GA,13
13279,GA,13
13281,GA,13
13283,GA,13
13285,GA,13
13287,GA,13
13289,GA,13
13291,GA,13
13293,GA,13
13295,GA,13
13297,GA,13
13299,GA,13
13301,GA,13
13303,GA,13
13305,GA,13
13307,GA,13
13309,GA,13
13311,GA,13
13313,GA,13
13315,GA,13
13317,GA,13
13319,GA,13
13321,GA,13
15001,HI,15
15003,HI,15
15005,HI,15
15007,HI,15
15009,HI,15
16001,ID,16
16003,ID,16
16005,ID,16
16007,ID,16
16009,ID,16
16011,ID,16
16013,ID,16
16015,ID,16
16017,ID,16
16019,ID,16
16021,ID,16
16023,ID,16
16025,ID,16
16027,ID,16
16029,ID,16
16031,ID,16
16033,ID,16
16035,ID,16
16037,ID,16
16039,ID,16
16041,ID,16
16043,ID,16
16045,ID,16
16047,ID,16
16049,ID,16
16051,ID,16
16053,ID,16
16055,ID,16
16057,ID,16
16059,ID,16
16061,ID,16
16063,ID,16
16065,ID,16
16067,ID,16
16069,ID,16
16071,ID,16
16073,ID,16
16075,ID,16
16077,ID,16
16079,ID,16
16081,ID,16
16083,ID,16
16085,ID,16
16087,ID,16
17001,IL,17
17003,IL,17
17005,IL,17
17007,IL,17
17009,IL,17
17011,IL,17
17013,IL,17
17015,IL,17
17017,IL,17
17019,IL,17
17021,IL,17
17023,IL,17
17025,IL,17
17027,IL,17
17029,IL,17
17031,IL,17
17033,IL,17
17035,IL,17
17037,IL,17
17039,IL,17
17041,IL,17
17043,IL,17
17045,IL,17
17047,IL,17
17049,IL,17
17051,IL,17
17053,IL,17
17055,IL,17
17057,IL,17
17059,IL,17
17061,IL,17
17063,IL,17
