congressionaldistrict,cty_fips,czone,dhs2_tot_cont_2002_2010,dhs2_cont_tcile1_2002_2004,dhs2_cont_tcile1_2002_2006,dhs2_cont_tcile1_2002_2008,dhs2_cont_tcile1_2002_2010,dhs2_cont_tcile1_2002_2012,dhs2_cont_tcile1_2002_2014,dhs2_cont_tcile1_2002_2016,dhs2_cont_tcile2_2002_2004,dhs2_cont_tcile2_2002_2006,dhs2_cont_tcile2_2002_2008,dhs2_cont_tcile2_2002_2010,dhs2_cont_tcile2_2002_2012,dhs2_cont_tcile2_2002_2014,dhs2_cont_tcile2_2002_2016,dhs2_cont_tcile3_2002_2004,dhs2_cont_tcile3_2002_2006,dhs2_cont_tcile3_2002_2008,dhs2_cont_tcile3_2002_2010,dhs2_cont_tcile3_2002_2012,dhs2_cont_tcile3_2002_2014,dhs2_cont_tcile3_2002_2016,d2_turnout_2002_2010,d2_shnr_2002_2004,d2_shnr_2002_2006,d2_shnr_2002_2008,d2_shnr_2002_2010,d2_shnr_2002_2012,d2_shnr_2002_2014,d2_shnr_2002_2016,d2_shnr_distr_2002_2010,d2_shnr_solidd_2002_2010,d2_shnr_solidr_2002_2010,d2_shnr_competitive_2002_2010,d2_rwin_2002_2004,d2_rwin_2002_2006,d2_rwin_2002_2008,d2_rwin_2002_2010,d2_rwin_2002_2012,d2_rwin_2002_2014,d2_rwin_2002_2016,d2_cfavg_demlib_2002_2004,d2_cfavg_demlib_2002_2006,d2_cfavg_demlib_2002_2008,d2_cfavg_demlib_2002_2010,d2_cfavg_demlib_2002_2012,d2_cfavg_demlib_2002_2014,d2_cfavg_demlib_2002_2016,d2_cfavg_demmod_2002_2004,d2_cfavg_demmod_2002_2006,d2_cfavg_demmod_2002_2008,d2_cfavg_demmod_2002_2010,d2_cfavg_demmod_2002_2012,d2_cfavg_demmod_2002_2014,d2_cfavg_demmod_2002_2016,d2_cfavg_repmod_2002_2004,d2_cfavg_repmod_2002_2006,d2_cfavg_repmod_2002_2008,d2_cfavg_repmod_2002_2010,d2_cfavg_repmod_2002_2012,d2_cfavg_repmod_2002_2014,d2_cfavg_repmod_2002_2016,d2_cfavg_repcon_2002_2004,d2_cfavg_repcon_2002_2006,d2_cfavg_repcon_2002_2008,d2_cfavg_repcon_2002_2010,d2_cfavg_repcon_2002_2012,d2_cfavg_repcon_2002_2014,d2_cfavg_repcon_2002_2016,d2_nominate_demlib_2002_2010,d2_nominate_demmod_2002_2010,d2_nominate_repmod_2002_2010,d2_nominate_repcon_2002_2010,d2_teaparty_2002_2010,d_party_2002_2004,d_party_2004_2006,d_party_2006_2008,d_party_2008_2010,d_party_2010_2012,d_party_2012_2014,d_party_2014_2016,d_imp_usch_pd,d_imp_otch_lag_pd,reg_midatl,reg_encen,reg_wncen,reg_satl,reg_escen,reg_wscen,reg_mount,reg_pacif,l_shind_manuf_cbp,l_sh_routine33,l_task_outsource,shnr_pres2000,shnr_pres1996,l_sh_pop_f,l_sh_pop_edu_c,l_sh_fborn,l_sh_pop_age_1019,l_sh_pop_age_2029,l_sh_pop_age_3039,l_sh_pop_age_4049,l_sh_pop_age_5059,l_sh_pop_age_6069,l_sh_pop_age_7079,l_sh_pop_age_8000,l_sh_pop_white,l_sh_pop_black,l_sh_pop_asian,l_sh_pop_hispanic,sh_district_2002,majority_white,redistrict_2004,redistrict_2006,redistrict_2012,redistrict_2016
AL 2,1001,11101,168.77229,71.363838,133.71602,199.61758,199.6543,199.6543,199.65126,199.65305,24.796967,45.723888,129.89957,131.39278,131.39278,93.766685,98.798317,46.655842,29.21312,174.53754,164.2962,164.2962,148.03569,149.51611,.082577169,1.763773,-.22357106,-18.13488,-12.537318,-12.537318,-9.2259827,-20.584471,-18.864763,0,0,-12.537318,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,100,100,100,0,0,-100,-100,-100,-100,-100,0,0,0,0,0,0,0,1,1,0,0,0,.4407930552402046,1.009527368914796,0,0,0,0,1,0,0,0,.14048532,33.071648,-.17318562,.70815974,.65470374,.51407111,.4489108,.011655332,.16028944,.11577477,.1608848,.15339699,.11215681,.078702115,.045201622,.021524582,.80650777,.17112042,.0045796982,.013968079,.065927677,1,0,0,1,0
AL 1,1003,11001,-117.70763,-55.915798,-158.0061,-61.924953,-81.853912,-81.853905,-68.479958,-84.870064,-79.201859,-131.27968,-131.0818,-124.61362,-124.61364,-134.91939,-150.65724,-103.94389,-113.72478,-132.21167,-116.51646,-116.51646,-104.00072,-197.46442,-.0055536628,.10681152,4.1402636,25.316685,25.316685,25.316685,9.4584103,25.316685,38.44165,0,25.316685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-100,0,0,0,0,0,0,0,0,.4650027912237285,1.144130031793068,0,0,0,0,1,0,0,0,.1506284,28.370228,-.65440798,.74493051,.69773662,.509682,.52415371,.021059005,.13963608,.10810811,.14016309,.15235552,.12570594,.09767475,.072371185,.03503187,.8714596,.1028665,.0038243777,.017562225,.22768584,1,0,0,1,0
AL 2,1005,10301,168.77229,71.363838,133.71602,199.61758,199.6543,199.6543,199.65126,199.65305,24.796967,45.723888,129.89957,131.39278,131.39278,93.766685,98.798317,46.655842,29.21312,174.53754,164.2962,164.2962,148.03569,149.51611,.083380342,5.9083939,.91684461,-14.591587,-13.132996,-13.132996,-11.755795,-16.771925,-18.864763,0,0,-13.132996,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,100,100,100,0,0,-100,-100,-100,-100,-100,0,0,0,0,0,0,0,1,1,0,0,0,1.17894595781622,2.74882214386171,0,0,0,0,1,0,0,0,.40112627,26.827314,-.62630641,.49550188,.43104917,.48446864,.32244921,.01498037,.14825401,.13726841,.15004477,.14264068,.11688133,.07579723,.061436739,.035401888,.51267302,.4632206,.0028927613,.016461188,.045792211,1,0,0,1,0
AL 6,1007,10801,55.123287,51.724327,62.022858,6.3881307,110.32405,110.32405,36.654449,-200,21.738234,34.72673,25.310242,33.271778,33.271778,-200,-200,64.987488,96.117279,66.784042,75.815132,75.815132,140.61888,-200,.031020969,0,0,0,0,0,6.8159876,7.2119236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,-100,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.7448747062470837,1.301444721599033,0,0,0,0,1,0,0,0,.23542571,29.567591,-.56862885,.61191905,.52254987,.48405838,.2745938,.0042735045,.13737635,.14539517,.15562278,.14361855,.11548065,.07692308,.054499183,.028041871,.76663786,.22203015,.00081628736,.01008355,.032388292,1,0,0,1,0
AL 4,1009,10700,49.864452,22.099955,-118.47372,24.991526,-22.830339,-22.830374,-200,-200,-29.406401,-30.742138,-33.32225,-32.410435,-32.410454,-200,-200,57.28038,55.494926,27.233528,92.217857,92.21785,152.30037,-200,-.01826632,-16.492535,-23.388571,-17.77392,0,0,7.86584,9.4774961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,-100,-100,-100,-100,-100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,.2546471894159703,.6757723204218671,0,0,0,0,1,0,0,0,.13256846,32.234402,-.14603272,.71793824,.64151555,.50070554,.34437126,.030985419,.13805269,.12770461,.14985105,.14418705,.12256977,.088644557,.057580747,.031063814,.95076829,.011876764,.001391502,.053269051,.079114355,1,0,0,1,0
AL 2,1011,9800,168.77229,71.363838,133.71602,199.61758,199.6543,199.6543,199.65126,199.65305,24.796967,45.723888,129.89957,131.39278,131.39278,93.766685,98.798317,46.655842,29.21312,174.53754,164.2962,164.2962,148.03569,149.51611,.12556666,1.0537565,-3.0776322,-15.166882,-12.950221,-12.950221,-13.059924,-17.355104,-18.864763,0,0,-12.950221,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,100,100,100,0,0,-100,-100,-100,-100,-100,0,0,0,0,0,0,0,1,1,0,0,0,.6567694350959172,1.723454781913254,0,0,0,0,1,0,0,0,.2031696,30.064594,-.51492304,.2968004,.27266136,.47584087,.25244385,.030561721,.15075977,.14871095,.14017415,.14785726,.10474646,.070513912,.053611062,.04584258,.25251836,.73109102,.0017927267,.027488476,.018304197,0,0,0,1,0
AL 2,1013,11101,168.77229,71.363838,133.71602,199.61758,199.6543,199.6543,199.65126,199.65305,24.796967,45.723888,129.89957,131.39278,131.39278,93.766685,98.798317,46.655842,29.21312,174.53754,164.2962,164.2962,148.03569,149.51611,.11879137,2.2158623,3.1822801,-19.784534,-15.912351,-15.912351,-11.379168,-20.492155,-18.864763,0,0,-15.912351,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,100,100,100,0,0,-100,-100,-100,-100,-100,0,0,0,0,0,0,0,1,1,0,0,0,.4407930552402046,1.009527368914796,0,0,0,0,1,0,0,0,.14048532,33.071648,-.17318562,.53370333,.46683261,.53180051,.33260697,.0036450301,.16360578,.10944436,.12407122,.14556755,.11397729,.086592831,.070610777,.050750036,.58376563,.40805644,.0016355905,.0066825552,.033083316,1,0,0,1,0
AL 3,1015,9600,-65.813004,-84.071823,-185.25688,-34.923306,-75.545624,-75.545624,-98.868027,-98.16468,-12.021504,-66.04689,23.803648,-42.008091,-42.008091,-106.68721,-115.14009,-7.9156051,-65.178833,-58.123219,-72.010941,-72.010941,-93.206429,-101.23463,.075974882,11.798734,10.435658,1.1059284,8.5551376,8.5551376,10.130083,11.553502,8.4113007,0,0,8.5551376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.564123632261222,2.717089601414358,0,0,0,0,1,0,0,0,.32883412,31.02747,-.54100108,.58565736,.53493452,.52158147,.41668582,.016989015,.13941327,.13566267,.13789877,.15147574,.12085631,.088036418,.065915957,.033024792,.78875536,.18539141,.0056392485,.015617066,.17920695,1,0,0,1,0
AL 3,1017,9600,-65.813004,-84.071823,-185.25688,-34.923306,-75.545624,-75.545624,-98.868027,-98.16468,-12.021504,-66.04689,23.803648,-42.008091,-42.008091,-106.68721,-115.14009,-7.9156051,-65.178833,-58.123219,-72.010941,-72.010941,-93.206429,-101.23463,.1141617,3.4833522,11.568859,2.813354,7.5730414,7.5730414,10.433629,11.935857,8.4113007,0,0,7.5730414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.564123632261222,2.717089601414358,0,0,0,0,1,0,0,0,.32883412,31.02747,-.54100108,.51802582,.46048632,.52751279,.32069233,.0080365194,.13544543,.12503076,.13314928,.14061175,.12084848,.088866413,.071262605,.047180384,.60878003,.38113332,.0018587869,.0076538282,.057580676,1,0,0,1,0
AL 3,1019,6600,-65.813004,-84.071823,-185.25688,-34.923306,-75.545624,-75.545624,-97.241905,-96.613823,-12.021504,-66.04689,23.803648,-42.008091,-42.008091,-106.69588,-113.95622,-7.9156051,-65.178833,-58.123219,-72.010941,-72.010941,-94.378922,-101.02014,.12149879,19.317204,13.523298,14.907146,20.620722,20.620722,22.586632,26.992929,8.4113007,0,0,20.620722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.9059132067512223,2.118789218065764,0,0,0,0,1,0,0,0,.40003046,31.92046,-.23631465,.54294479,.40931705,.5083375,.28659731,.010797065,.12164415,.1181424,.13694347,.14411372,.13836084,.11159746,.070076704,.036184758,.92829746,.05544439,.0014173754,.0085042519,.038994271,1,0,0,1,0
