fips,fam_median_income,total_population
1001,64271,53155
1003,58429,175791
1005,41786,27699
1007,51956,22610
1009,53564,56692
1011,37816,10923
1013,37458,20895
1015,49532,117149
1017,39475,34579
1019,47365,25700
1021,48886,43121
1023,40121,14111
1025,43323,26255
1027,43392,14040
1029,41585,14823
1031,54929,48349
1033,50675,54446
1035,40022,13382
1037,47451,11470
1039,43468,37608
1041,47685,13928
1043,47771,79941
1045,50685,49730
1047,36516,44066
1049,41880,70038
1051,62870,77650
1053,41778,37996
1055,44706,104066
1057,42063,17472
1059,44352,31383
1061,40583,26541
1063,35657,9255
1065,38345,16168
1067,46976,17148
1069,51741,99029
1071,45423,53386
1073,57563,656912
1075,42492,14743
1077,51723,91762
1079,48425,34235
1081,59112,135010
1083,55518,78614
1085,34929,11731
1087,42363,21699
1089,71873,323080
1091,43709,21296
1093,44223,30792
1095,47440,90867
1097,49900,408620
1099,38778,23329
1101,55475,228018
1103,54653,117632
1105,30898,10684
1107,40878,19917
1109,41570,32147
1111,43528,22817
1113,38572,51663
1115,56107,80658
1117,81406,187880
1119,32063,13871
1121,44695,82347
1123,47918,41534
1125,58756,188331
1127,45788,67612
1129,51749,17556
1131,27250,12012
1133,39784,24687
2013,61250,3703
2016,81875,6259
2020,85023,284267
2050,55402,16838
2060,92308,1049
2068,81500,1144
2070,64113,4817
2090,79913,94439
2100,69821,1658
2105,50257,2029
2110,88536,30975
2122,71278,53917
2130,78440,13396
2150,65605,13349
2164,47266,1626
2170,76247,84147
2180,52694,9315
2185,70650,8852
2188,52807,7477
2195,76063,3841
2198,51000,5507
2220,70875,8894
2230,87361,1140
2240,63125,6935
2261,76625,9606
2270,37284,7398
2275,53688,2338
2282,90833,638
2290,45000,5635
4001,36915,70312
4003,53077,129268
4005,58841,131824
4007,46292,53272
4009,48005,36030
4011,51729,8318
4012,37721,20549
4013,65438,3751410
4015,47530,199177
4017,45906,107060
4019,57377,964462
4021,56299,329297
4023,40933,46051
4025,53499,209260
4027,42718,190526
5001,48698,19321
5003,46453,22126
5005,42124,41388
5007,58000,209911
5009,46005,36710
5011,39125,11638
5013,39615,5529
5015,42031,26971
5017,32679,12102
5019,45336,23083
5021,39758,16297
5023,44863,25692
5025,45882,8769
5027,46855,24756
5029,48116,21059
5031,52540,93329
5033,46542,60778
5035,42042,50673
5037,46045,18144
5039,37060,8280
5041,36349,13351
5043,44680,18546
5045,60595,108375
5047,39723,18176
5049,36489,12263
5051,45745,95290
5053,58741,17657
5055,45776,41318
5057,41820,22747
5059,46090,32671
5061,40538,13778
5063,43775,35994
5065,39668,13636
5067,36103,18015
5069,46626,78447
5071,39226,25180
5073,37072,7764
5075,38957,17340
5077,34261,10709
5079,39493,14203
5081,45341,13145
5083,48696,22580
5085,57736,65846
5087,42341,15507
5089,41321,16779
5091,47960,43048
5093,39644,46815
5095,35532,8492
5097,43306,9490
5099,46658,9149
5101,37938,8394
5103,42771,26293
5105,50364,10435
5107,32902,22412
5109,39526,11286
5111,38865,24703
5113,37883,20490
5115,46083,60460
5117,42609,8839
5119,57863,377060
5121,43552,18049
5123,34233,28302
5125,62109,102439
5127,39425,11226
5129,38662,8227
5131,49149,123847
5133,39263,16636
5135,39435,17432
5137,36765,12321
5139,46185,42180
5141,40161,17237
5143,52300,197192
5145,46012,74957
5147,36917,7505
5149,39517,21895
6001,85014,1477980
6003,80278,1176
6005,65103,38327
6007,54924,218635
6009,65542,45994
6011,53643,21165
6013,91791,1024809
6015,51824,28471
6017,83142,179053
6019,52306,908830
6021,49773,27935
6023,53221,133058
6025,43490,168052
6027,61898,18434
6029,51311,815693
6031,53498,151122
6033,50140,64371
6035,62842,35081
6037,61622,9758256
6039,51115,147738
6041,112911,248601
6043,57682,18290
6045,51787,87487
6047,47924,250699
6049,46349,9605
6051,74888,13905
6053,63372,407435
6055,80030,134051
6057,66753,98186
6059,83735,2965525
6061,89196,336477
6063,54182,20392
6065,64787,2109464
6067,66003,1395144
6069,75051,54492
6071,61526,2005287
6073,73560,3022468
6075,85778,789172
6077,61292,673613
6079,72054,265577
6081,101578,704327
6083,69190,416051
6085,100733,1739396
