fips,avg_household_size,pop_dens
1001,2.59,35.85341899
1003,2.61,50.54150356
1005,2.49,11.24798121
1007,2.99,13.973114
1009,2.77,34.51581642
1011,2.75,6.41761955
1013,2.94,9.952770785
1015,2.49,73.348688
1017,2.46,21.89263808
1019,2.41,18.0333283
1021,2.6,24.48066939
1023,2.41,5.526508604
1025,2.57,7.603131652
1027,2.51,8.552331345
1029,2.58,10.29735391
1031,2.56,29.16467291
1033,2.48,35.49694998
1035,2.73,5.682995171
1037,2.55,6.438885282
1039,2.44,13.99370346
1041,2.73,8.792273306
1043,2.64,43.25267563
1045,2.57,33.89312549
1047,2.41,15.79103338
1049,2.69,35.37577983
1051,2.63,50.70144021
1053,2.57,15.24764898
1055,2.62,74.25054812
1057,2.34,10.20180135
1059,2.79,19.21135615
1061,2.5,17.80431585
1063,2.83,5.028100131
1065,2.6,8.925557001
1067,2.52,11.76966574
1069,2.63,69.48209266
1071,2.49,18.65848284
1073,2.47,229.2513381
1075,2.3,8.894097028
1077,2.35,53.51282236
1079,2.57,18.54305046
1081,2.58,101.2278644
1083,2.81,64.16149688
1085,2.43,5.520435979
1087,2.19,12.08354055
1089,2.4,172.2275
1091,2.48,7.722101608
1093,2.41,15.58520673
1095,2.7,64.92182299
1097,2.6,130.2299289
1099,2.61,8.097965626
1101,2.45,111.5782173
1103,2.57,79.38223066
1105,2.82,5.089327131
1107,2.49,8.891346444
1109,2.73,19.18998514
1111,2.56,15.0131423
1113,2.53,35.05587426
1115,2.65,53.370584
1117,2.66,103.8590388
1119,2.4,5.547014404
1121,2.46,42.21915736
1123,2.43,21.89695846
1125,2.71,60.27841134
1127,2.54,31.4801768
1129,2.75,5.948771806
1131,2.77,4.69736954
1133,2.5,15.03833828
2013,2.6,0.189317984
2016,3.72,0.505471803
2020,2.71,67.00029188
2050,3.77,0.171435929
2060,2.45,0.712955928
2068,2.29,0.068195198
2070,3.25,0.104785322
2090,2.61,5.249490983
2100,2.41,0.415544894
2105,2.47,0.125547899
2110,2.53,4.616610188
2122,2.6,1.402885307
2130,2.54,1.097363264
2150,3.05,0.796616254
2158,4.69,0.185386083
2164,2.99,0.022215413
2170,3.29,1.616412301
2180,3.27,0.16681479
2185,3.38,0.042585631
2188,3.97,0.083765592
2195,2.72,0.433274538
2198,2.7,0.4749637
2220,2.37,1.175520142
2230,2.28,0.944050025
2240,3.03,0.106951727
2261,2.93,0.104936773
2275,2.26,0.375226755
2282,2.69,0.034896325
2290,2.68,0.014362075
4001,3.44,2.466163547
4003,2.38,7.909160031
4005,2.68,2.907730578
4007,2.42,4.333306678
4009,3.12,3.163771078
4011,2.92,1.992160031
4012,2.3,1.776302238
4013,2.76,178.541174
4015,2.37,5.977113496
4017,3.08,4.218261644
4019,2.47,42.8548311
4021,2.86,30.20127807
4023,2.99,14.54108112
4025,2.29,10.67714706
4027,2.79,14.55270217
5001,2.33,7.077235454
5003,2.57,8.568999577
5005,2.22,28.71527107
5007,2.72,117.9774558
5009,2.47,24.40204536
5011,2.37,6.510797369
5013,2.61,3.195379922
5015,2.47,17.09180309
5017,2.35,6.48720534
5019,2.31,9.979357949
5021,2.32,9.093629023
5023,2.32,17.5920795
5025,2.47,5.313083763
5027,2.47,12.04300901
5029,2.44,14.61617031
5031,2.5,57.70123977
5033,2.61,40.79968711
5035,2.58,31.00606806
5037,2.51,10.64756188
5039,2.22,4.299625822
5041,2.31,5.974983295
5043,2.49,8.623895565
5045,2.67,72.94679147
5047,2.56,11.27518456
5049,2.39,7.581608118
5051,2.41,55.99985179
5053,2.64,11.05241582
5055,2.6,29.82410541
5057,2.72,11.68517302
5059,2.54,21.03703075
5061,2.59,8.78324092
5063,2.54,18.83321817
5065,2.5,9.017189389
5067,2.33,10.49119353
5069,2.39,31.2545148
5071,2.6,15.38292036
5073,2.37,5.053796893
5075,2.47,10.95289483
5077,2.31,6.021341533
5079,2.34,9.416005919
